ID,Nom,Effet,Rareté,Set
EB01-001,"Kouzuki Oden","All of your {Land of Wano} type Character cards without aCounter have a +1000 Counter, according to the rules.<br>[DON!!x1] [When Attacking] If you have a {Land of Wano} typeCharacter with a cost of 5 or more, this Leader gains +1000power until the start of your next turn.",L,"-Memorial Collection- [EB-01]"
EB01-001_p1,"Kouzuki Oden","All of your {Land of Wano} type Character cards without aCounter have a +1000 Counter, according to the rules.<br>[DON!!x1] [When Attacking] If you have a {Land of Wano} typeCharacter with a cost of 5 or more, this Leader gains +1000power until the start of your next turn.",L,"-Memorial Collection- [EB-01]"
EB01-002,"Izo","[On Play] Give up to 1 rested DON!! card to your Leader or 1of your Characters.[On Your Opponent's Attack] [Once PerTurn] You may trash 1 card from your hand: If your Leaderhas the {Land of Wano} or {Whitebeard Pirates} type, give upto 1 of your opponent's Leader or Character cards −2000power during this turn.",R,"-Memorial Collection- [EB-01]"
EB01-003,"Kid & Killer","[Rush] (This card can attack on the turn in which it isplayed.)[When Attacking] If your opponent has 2 or less Lifecards, this Character gains +2000 power during this turn.",R,"-Memorial Collection- [EB-01]"
EB01-003_p1,"Kid & Killer","[Rush] (This card can attack on the turn in which it isplayed.)[When Attacking] If your opponent has 2 or less Lifecards, this Character gains +2000 power during this turn.",R,"-Memorial Collection- [EB-01]"
EB01-004,"Koza","[When Attacking] You may give your 1 active Leader −5000power during this turn: Give up to 1 of your opponent'sCharacters −3000 power during this turn.",C,"-Memorial Collection- [EB-01]"
EB01-005,"Doma","-",C,"-Memorial Collection- [EB-01]"
EB01-006,"Tony Tony.Chopper","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of theattack.)[DON!! x2] [When Attacking] Give up to 1 of youropponent's Characters −3000 power during this turn.",SR,"-Memorial Collection- [EB-01]"
EB01-006_p1,"Tony Tony.Chopper","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of theattack.)[DON!! x2] [When Attacking] Give up to 1 of youropponent's Characters −3000 power during this turn.",SR,"-Memorial Collection- [EB-01]"
EB01-006_p2,"Tony Tony.Chopper","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of theattack.)[DON!! x2] [When Attacking] Give up to 1 of youropponent's Characters −3000 power during this turn.",SR,"-Memorial Collection- [EB-01]"
EB01-006_p5,"Tony Tony.Chopper","[Blocker] (After your opponent declares an attack, you may
                    rest this card to make it the new target of the attack.)<br>[DON!!
                    x2] [When Attacking] Give up to 1 of your opponent's
                    Characters −3000 power during this turn.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
EB01-007,"Yamato","[Activate: Main] [Once Per Turn] Give up to 1 rested DON!!card to your Leader or 1 of your Characters.",C,"-Memorial Collection- [EB-01]"
EB01-008,"LittleOars Jr.","[Once Per Turn] If this Character would be K.O.'d by aneffect, you may trash 1 Event or Stage card from your handinstead.",R,"-Memorial Collection- [EB-01]"
EB01-009,"Just Shut Up and Come with Us!!!!","[Counter] Look at 5 cards from the top of your deck and playup to 1 {Animal} type Character card with a cost of 3 orless. Then, place the rest at the bottom of your deck in anyorder.",C,"-Memorial Collection- [EB-01]"
EB01-010,"There's No Way You Could Defeat Me!!","[Counter] K.O. up to 1 of your opponent's Characters with6000 base power or less.",R,"-Memorial Collection- [EB-01]"
EB01-011,"Mini-Merry","[Activate: Main] You may rest this card and place 1 of yourCharacters with 1000 base power at the bottom of your deck:Draw 1 card.",C,"-Memorial Collection- [EB-01]"
EB01-012,"Cavendish","[On Play]/[When Attacking] If your Leader has the{Supernovas} type and you have no other [Cavendish]Characters, set up to 2 of your DON!! cards as active.",SR,"-Memorial Collection- [EB-01]"
EB01-012_p1,"Cavendish","[On Play]/[When Attacking] If your Leader has the{Supernovas} type and you have no other [Cavendish]Characters, set up to 2 of your DON!! cards as active.",SR,"-Memorial Collection- [EB-01]"
EB01-013,"Kouzuki Hiyori","[Activate: Main] You may trash this Character: Play up to 1{Land of Wano} type Character card with a cost of 5 or lessother than [Kouzuki Hiyori] from your hand. Then, draw 1card.",R,"-Memorial Collection- [EB-01]"
EB01-013_p1,"Kouzuki Hiyori","[Activate: Main] You may trash this Character: Play up to 1{Land of Wano} type Character card with a cost of 5 or lessother than [Kouzuki Hiyori] from your hand. Then, draw 1card.",R,"-Memorial Collection- [EB-01]"
EB01-014,"Sanji","[DON!! x1] [Your Turn] This Character gains +1000 power forevery 3 of your rested DON!! cards.",R,"-Memorial Collection- [EB-01]"
EB01-015,"Scratchmen Apoo","[On Play] Rest up to 1 of your opponent's Characters with acost of 2 or less.",R,"-Memorial Collection- [EB-01]"
EB01-016,"Bingoh","[Activate: Main] You may rest this Character: K.O. up to 1of your opponent's rested Characters with a cost of 1 orless.",C,"-Memorial Collection- [EB-01]"
EB01-017,"Blueno","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)",C,"-Memorial Collection- [EB-01]"
EB01-018,"Mountain God","-",C,"-Memorial Collection- [EB-01]"
